,player,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,fumbles_lost
0,A.J. Brown,0,2,0,0,0,0,0,0,79.2,0
1,A.J. McCarron,22,38,245,0,1,5,43,41,223.5,0
2,Aaron Rodgers,1396,2079,15652,133,20,118,887,2608,6524.6,10
3,Albert Wilson,1,3,20,0,0,0,0,20,125.0,0
4,Alex Erickson,1,2,26,0,0,0,0,26,158.3,0
5,Alex Smith,168,252,1582,6,8,22,139,231,588.3,0
6,Alex Tanney,1,1,1,0,0,0,0,1,79.2,0
7,Alvin Kamara,1,1,13,0,0,0,0,13,118.7,0
8,Amari Cooper,0,1,0,0,1,0,0,0,0.0,0
9,Andrew Beck,1,1,6,0,0,0,0,6,91.7,0
10,Andy Dalton,784,1258,8354,47,35,83,598,1284,3101.2,7
11,Andy Lee,2,2,52,0,0,0,0,52,237.4,0
12,Bailey Zappe,65,92,781,5,3,6,40,145,393.20000000000005,3
13,Baker Mayfield,1003,1662,11829,73,47,125,823,2007,4505.4,10
14,Ben DiNucci,23,43,219,0,0,7,73,47,174.3,2
15,Ben Roethlisberger,900,1387,8610,61,25,55,378,1229,3161.7,6
16,Bilal Powell,0,1,0,0,0,0,0,0,39.6,0
17,Blaine Gabbert,16,27,210,2,0,2,17,81,537.0,0
18,Blake Bortles,1,2,3,0,0,0,0,3,56.2,0
19,Blake Gillikin,0,1,0,0,0,0,0,0,39.6,0
20,Braden Mann,1,1,17,0,0,0,0,17,118.7,0
21,Brandon Allen,146,260,1589,10,6,20,143,363,939.5,1
22,Brandon Zylstra,0,1,0,0,0,0,0,0,39.6,0
23,Braxton Berrios,1,1,2,1,0,0,0,2,118.7,0
24,Brett Hundley,5,11,49,0,0,2,11,28,180.6,0
25,Brett Kern,2,4,39,0,0,0,0,39,310.40000000000003,0
26,Brett Rypien,51,88,520,2,5,2,6,115,215.7,0
27,Brian Hoyer,64,106,766,5,5,8,73,219,688.2,2
28,Brock Purdy,4,9,66,0,1,0,0,22,30.1,0
29,Bryan Anger,1,1,16,0,0,0,0,16,118.7,0
30,C.J. Beathard,68,106,820,6,0,9,71,188,712.8000000000001,3
31,Cam Newton,361,583,3913,12,16,47,321,637,1741.2,4
32,Carson Wentz,1106,1796,11714,80,35,143,924,1944,4518.6,17
33,Case Keenum,214,336,2223,14,6,20,174,423,1255.4,4
34,Cedrick Wilson Jr.,5,5,111,1,0,0,0,111,624.9,0
35,Chad Henne,45,64,396,2,1,3,10,99,466.90000000000003,0
36,Chase Claypool,1,1,1,1,0,0,0,1,118.7,0
37,Chase Daniel,74,107,699,4,4,10,77,169,519.2,0
38,Chris Banjo,1,1,23,0,0,0,0,23,118.7,0
39,Chris Boswell,0,1,0,0,0,0,0,0,39.6,0
40,Chris Jones,0,1,0,0,0,0,0,0,39.6,0
41,Chris Streveler,17,25,141,1,1,4,27,36,155.8,0
42,Christian Kirk,1,2,33,0,0,0,0,33,158.3,0
43,Christian McCaffrey,1,3,34,1,0,0,0,34,237.5,0
44,Cole Beasley,1,2,20,1,0,0,0,20,197.9,0
45,Colt McCoy,132,192,1237,4,3,17,108,223,724.2,2
46,Cooper Kupp,0,4,0,0,0,0,0,0,158.4,0
47,Cooper Rush,120,203,1442,8,4,10,68,341,926.8,1
48,Cordarrelle Patterson,0,1,0,0,0,0,0,0,39.6,0
49,Corey Bojorquez,0,1,0,0,0,0,0,0,39.6,0
50,Courtland Sutton,2,2,54,0,0,0,0,54,237.4,0
51,D'Andre Swift,0,1,0,0,0,0,0,0,39.6,0
52,D.J. Moore,0,1,0,0,0,0,0,0,39.6,0
53,Dak Prescott,1026,1538,12052,80,28,72,432,1596,4118.3,11
54,Daniel Jones,939,1488,9797,51,31,130,878,1669,3917.3,22
55,Danny Amendola,1,2,19,1,0,0,0,19,197.9,0
56,Dante Pettis,2,2,32,0,0,0,0,32,237.4,0
57,David Blough,100,184,1033,4,7,15,114,243,353.5,0
58,David Montgomery,0,1,0,0,1,0,0,0,0.0,0
59,Davis Mills,412,630,4166,24,16,47,334,711,1707.9,2
60,DeAndre Hopkins,1,2,6,1,1,0,0,6,131.2,0
61,DeeJay Dallas,0,1,0,0,1,0,0,0,0.0,0
