,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
0,A.J. Brown,387,240,3943,31,1639,4573.1,1462,21
1,A.J. Green,222,111,1427,5,662,2864.9,279,10
2,AJ Dillon ,61,51,436,2,276,28.5,418,4
3,Aaron Brewer,1,0,0,0,0,3.0,0,0
4,Aaron Jones,259,198,1591,15,790,309.6,1583,14
5,Aaron Rodgers,2,2,-10,0,-10,-8.0,-2,0
6,Adam Humphries,147,103,996,4,461,1127.5,316,5
7,Adam Prentice,4,4,18,0,18,4.0,14,0
8,Adam Shaheen,51,33,334,3,256,236.0,184,2
9,Adam Thielen,317,218,2599,32,997,3384.7,691,10
10,Adam Trautman,70,50,524,4,340,381.4,266,5
11,Adrian Killins,1,1,2,0,2,-4.0,6,0
12,Adrian Peterson,45,33,251,0,209,-54.9,278,4
13,Albert Okwuegbunam,64,51,501,3,294,303.1,357,2
14,Albert Wilson,101,68,564,1,318,536.9,322,9
15,Alec Ingold,43,34,277,3,224,192.1,199,4
16,Alec Pierce,38,24,373,1,190,480.7,49,2
17,Alex Armah,12,8,25,1,30,1.0,28,3
18,Alex Collins,11,9,78,0,67,9.0,88,0
19,Alex Erickson,99,58,723,0,406,788.4,361,2
20,Alexander Hollins,5,2,46,0,35,106.0,6,1
21,Alexander Mattison,79,64,503,3,300,59.5,494,3
22,Alfred Morris,4,3,19,1,19,4.0,17,0
23,Allen Hurns,47,32,416,2,223,487.0,116,2
24,Allen Lazard ,218,145,1981,19,1001,2648.3,665,11
25,Allen Robinson,414,266,3086,16,1129,4274.0,758,12
26,Alshon Jeffery,86,49,605,5,264,981.1999999999999,136,4
27,Alvin Kamara,333,257,2086,13,877,248.7,2063,26
28,Amani Hooker,2,2,34,0,34,13.0,21,0
29,Amari Cooper,429,284,3785,27,1423,4653.6,1046,18
30,Amari Rodgers,15,8,95,0,92,111.69999999999999,46,1
31,Ameer Abdullah,93,69,500,4,287,69.4,501,2
32,Amon-Ra St. Brown,169,125,1256,8,462,1113.5,608,4
33,Andre Baccellia,6,4,25,0,21,55.0,9,0
